MatchId;Journee;Stade;Spectateurs;Date;home_team;away_team;home_goal;away_goal;home_possession;away_possession;home_duels_gagnes;away_duel_gagnes;home_duel_aeriens_gagnes;away_duel_aeriens_gagnes;home_interceptions;away_interceptions;home_hors_jeux;away_hors_eux;home_corners_won;away_corners_won;home_passes;away_passes;home_centres;away_centres;home_tirs;away_tirs;home_tirs_cadres;away_tirs_cadres;home_carton_jaune;away_carton_jaune;home_carton_rouge;away_carton_rouge;home_formation;away_formation 
71095;Journée 34;GROUPAMA STADIUM;49531;DIM. 7 MAI 2023- 17:05;OLYMPIQUE LYONNAIS;MONTPELLIER HÉRAULT SC;5;4;69,9;30,1;51,4;48,6;69,2;30,8;9;6;2;3;3;5;606;253;17;13;16;12;8;6;0;3;0;0;2-2-2-3-1;3-2-2-2-1
71096;Journée 34;STADE DE LA BEAUJOIRE-LOUIS FONTENEAU;28563;DIM. 7 MAI 2023- 15:00;FC NANTES;RC STRASBOURG ALSACE;0;2;54,3;45,7;47,2;52,8;51,5;48,5;9;15;1;0;11;1;413;376;40;8;13;8;5;6;3;1;0;0;3-2-2-1-2;2-2-2-3-1
71097;Journée 34;ALLIANZ RIVIERA;22601;SAM. 6 MAI 2023- 17:00;OGC NICE;STADE RENNAIS FC;2;1;45,9;54,1;53,3;46,7;60;40;9;8;4;0;4;7;420;496;21;22;11;14;4;4;0;1;0;0;2-2-1-2-2-1;4-1-2-2-1
71098;Journée 34;STADE AUGUSTE-DELAUNE;17911;SAM. 6 MAI 2023- 19:00;STADE DE REIMS;LOSC LILLE;1;0;35,9;64,1;45,5;54,5;45,8;54,2;10;8;8;0;4;7;282;504;14;23;14;11;4;5;2;3;0;0;2-2-3-1-2;3-2-2-2-1
71099;Journée 34;STADE DE L'AUBE;18890;DIM. 7 MAI 2023- 20:45;ESTAC TROYES;PARIS SAINT-GERMAIN;1;3;39,5;60,5;46,8;53,2;40;60;9;10;1;2;6;6;462;728;15;16;7;31;3;12;1;0;0;0;3-2-2-2-1;5-3-2
71100;Journée 35;STADE FRANCIS-LE BLÉ;15028;DIM. 14 MAI 2023- 15:00;STADE BRESTOIS 29;AJ AUXERRE;1;0;45,2;54,8;61,1;38,9;63,4;36,6;12;8;3;0;6;0;422;534;28;9;15;10;10;2;0;0;0;0;2-2-1-4-1;3-2-3-2
71101;Journée 35;STADE GABRIEL-MONTPIED;13191;DIM. 14 MAI 2023- 13:00;CLERMONT FOOT 63;OLYMPIQUE LYONNAIS;2;1;37,5;62,5;40,8;59,2;37,5;62,5;23;18;2;3;5;2;366;619;13;10;9;15;6;4;3;3;0;0;3-2-2-2-1;1-2-2-3-2
71102;Journée 35;STADE BOLLAERT-DELELIS;37701;VEN. 12 MAI 2023- 21:00;RC LENS;STADE DE REIMS;2;1;39,6;60,4;61,3;38,7;64,3;35,7;7;5;1;0;0;14;329;485;12;31;8;17;6;3;1;3;1;0;3-2-2-2-1;1-2-1-2-2-2
71103;Journée 35;ORANGE VÉLODROME;63329;DIM. 14 MAI 2023- 20:45;OLYMPIQUE DE MARSEILLE;ANGERS SCO;3;1;62,5;37,5;53,4;46,6;53,8;46,2;10;11;7;0;7;0;527;323;21;4;14;4;6;1;1;2;0;0;3-2-2-2-1;3-2-3-2
71104;Journée 35;STADE LOUIS-II;6805;DIM. 14 MAI 2023- 17:05;AS MONACO;LOSC LILLE;0;0;41,2;58,8;50,9;49,1;54,5;45,5;12;14;3;0;3;4;355;524;15;9;8;10;1;4;0;2;0;0;2-2-2-3-1;3-2-2-2-1
71105;Journée 35;STADE DE LA MOSSON ET DU MONDIAL 98;12595;DIM. 14 MAI 2023- 15:00;MONTPELLIER HÉRAULT SC;FC LORIENT;1;1;42,9;57,1;48,7;51,3;52,2;47,8;11;15;0;2;11;5;377;534;34;11;15;11;4;3;2;3;0;0;2-2-1-2-2-1;2-2-2-3-1
71106;Journée 35;PARC DES PRINCES;47926;SAM. 13 MAI 2023- 21:00;PARIS SAINT-GERMAIN;AC AJACCIO;5;0;72,8;27,2;48,3;51,7;50;50;7;12;1;0;8;3;743;275;18;7;16;7;9;2;1;1;1;1;3-2-2-2-1;2-2-1-2-2-1
71107;Journée 35;ROAZHON PARK;27836;DIM. 14 MAI 2023- 15:00;STADE RENNAIS FC;ESTAC TROYES;4;0;66,7;33,3;56,3;43,7;47,4;52,6;9;7;3;1;9;1;567;283;20;10;26;4;9;0;0;1;0;0;2-2-1-4-1;2-2-2-3-1
71108;Journée 35;STADE DE LA MEINAU;25147;SAM. 13 MAI 2023- 17:00;RC STRASBOURG ALSACE;OGC NICE;2;0;38,9;61,1;46,4;53,6;54,2;45,8;11;7;0;1;2;3;365;580;13;15;12;9;3;4;1;1;0;0;3-2-2-2-1;2-2-1-2-2-1
